header,levo_ppb,relative_area_levo,relative_amount_levo,levoglucosan_area,C13_levoglucosan_area,c13_levo_ppb
R2-PESC-11,16.24539274293012,0.894777031,1.6245392742930123,585.9,654.8,10
R2-PESC-2,23.253597957624372,1.2976968030250946,2.325359795762437,755,581.8,10
R2-PESC-3,15.56406598607479,0.8556058007172931,1.5564065986074789,548.7,641.3,10
R2-PESC-4,24.137262549327403,1.3485009568360622,2.4137262549327403,634.2,470.3,10
R2-PESC-5,22.646112477880493,1.2627708978328176,2.264611247788049,652.6,516.8,10
R2-PESC-6,16.98497752758273,0.9372976657011417,1.698497752758273,550.1,586.9,10
R2-PESC-7,15.330918569337733,0.842201555,1.5330918569337733,552.4,655.9,10
R2-PESC-9,11.56558005,0.6257225433526011,1.156558005,433,692,10
R2-SAN-1,10.445013080882026,0.5612982618058759,1.0445013080882026,364.9,650.1,10
R2-SAN-10,8.076432515145504,0.4251224632610217,0.8076432515145503,364.5,857.4,10
