"Sample_ID","Watershed","Date","Time","Latitude","Longitude","Location_Change","Discharge_cms","Flow_category","DOC_mgC_per_L","levo_micro_gram_per_liter","std_levo_micro_gram_per_liter","DBC_mgC_per_L","DBC_DOC_percent","dB6CA_nano_mol_per_L","dB5CA_nano_mol_per_L","dB6CA_B5CA","a254_per_m","SUVA254_L_per_mgC_per_m","Area_square_kilometer","Average_slope_percent","Average_precipitation_milli_meter","Burn_Extent_percent","Area_low_severity_percent","Area_low_to_mod_severity_percent","Area_mod_to_high_severity_percent","Forest_percent","Shrub_percent","Developed_percent","Sandstone_and_sedimentary_percent","Igneous_percent","Suficial_Sediments_percent","Schist_percent"
"SAN-7","San Lorenzo River","27-Jan-21",07:05:00,37.044037,-122.07214,"N",19.793,"H",7.41,13.47886262,2.062064555,0.351,4.75,162.6,391,0.416,52.393,3.071,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-9","San Lorenzo River","2-Feb-21",08:15:00,37.044037,-122.07214,"N",3.511,"H",4.27,6.680237541,1.354607136,0.223,5.2,101.555,234.943,0.432,32.472,3.302,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SCT-1","Scott Creek","7-Oct-20",NA,37.054092,-122.226767,"N",0.32,"B",1.64,8.224516985,0.634142808,0.075,4.6,28.032,74.669,0.375,14.048,3.72,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-10","Scott Creek","18-Mar-21",19:33:00,37.054092,-122.226767,"N",2.911,"L",2.015,4.871010502,0.789613527,0.145,7.651,58.7,152.4,0.385,17.388,3.881,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-11","Scott Creek","2-May-21",10:30:00,37.054092,-122.226767,"N",0.992,"B",1.81,9.14135787,0.882328955,0.105,5.825,41.5,107.5,0.386,14.739,3.536,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-3","Scott Creek","18-Nov-20",11:45:00,37.054092,-122.226767,"N",2.469,"L",5.39,62.67418921,7.63143853,0.132,2.4,51.3,139.8,0.367,27.866,2.245,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-4","Scott Creek","11-Dec-20",09:35:00,37.054092,-122.226767,"N",0.829,"B",1.84,9.591719158,0.022195626,0.092,4.971,35,92.6,0.378,11.285,2.663,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-5","Scott Creek","13-Dec-20",14:16:00,37.054092,-122.226767,"N",1.447,"L",3.7,13.92502193,1.611941817,0.141,3.8,58.7,148.4,0.396,23.951,2.811,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-6","Scott Creek","4-Jan-21",15:10:00,37.054092,-122.226767,"N",1.826,"L",3.01,9.440664238,2.002202962,0.119,3.9,50.1,122.6,0.409,18.424,2.658,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-7","Scott Creek","27-Jan-21",07:25:00,37.0407,-122.228952,"Y",8.438,"H",10.88,48.13010966,10.27638856,0.423,3.9,173.815,503.888,0.345,65.405,2.61,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-8","Scott Creek","28-Jan-21",08:05:00,37.0407,-122.228952,"Y",16.412,"H",9.82,32.75717598,0.311562123,0.442,4.5,187.153,523.44,0.358,54.581,2.413,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-9","Scott Creek","2-Feb-21",07:15:00,37.054092,-122.226767,"N",5.53,"H",6.45,10.6372964,1.140723198,0.315,4.9,135.361,356.456,0.38,38.69,2.605,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
