Column_or_Row_Name,Unit,Definition,Data_Type
pB6CA_nano_mol_per_L,micro moles per liter,Concentration of benzenehexacarboxylic acid created during the oxidation of particulate black carbon,numeric
PBC_mgC_per_L,milligrams of carbon per liter,Concentration of particulate black carbon as determined by the concentrations of benzenehexacarboxylic acid and benzenepentacarboxylic acid,numeric
PBC_POC_percent,percent,Ratio of particulate black carbon to particulate organic carbon,numeric
PBC_TSS_percent,percent,Ratio of particulate black carbon to total suspended solids,numeric
PESC_DateTime,m/d/yyyy h:mm:ss AM/PM,The datetime discharge measurements were taken at Pescadero Creek,datetime
PESC_Flow_cms,cubic meters per second,The discharge of Pescadero Creek,numeric
POC_mgC_per_L,milligrams of carbon per liter,The concentration of particulate organic carbon,numeric
Sample_ID,N/A,This is a name given to samples analyzed. The letters are short hand for the watershed where the sample was taken and the numbers are indicative of the sampling event.,text
SAN_DateTime,m/d/yyyy h:mm:ss AM/PM,The datetime discharge measurements were taken at San Lorenzo River,datetime
SAN_Flow_cms,cubic meters per second,The discharge of the San Lorenzo River,numeric
Sandstone_and_sedimentary_percent,percent,Percentage of watershed area above sampling location with sandstone and other sedimentary lithology,numeric
Schist_percent,percent,Percentage of watershed area above sampling location with schist lithology,numeric
SCT_DateTime,m/d/yyyy,The date discharge measurements were taken at Scott Creek,date
SCT_Flow_cms,cubic meters per second,The discharge of the Scott Creek,numeric
Shrub_percent,percent,Percentage of watershed area above sampling location that was classified as shrubland,numeric
Standard,N/A,ESS-DIVE Reporting Format or other standard applied to the data file.,text
std_levo_micro_gram_per_liter,micro grams of levoglucosan per liter,These values represent the standard deviation of levoglucosan concentrations. The standard deviation was determined from duplicate injections of the same sample.,numeric
Suficial_Sediments_percent,percent,Percentage of watershed area above sampling location with surficial sediments,numeric
SUVA254_L_per_mgC_per_m,liter per millogram of carbon per meter,Specific ultraviolet absorbance at 254 nm,numeric
Time,HH:MM:SS,Time samples were taken,time
time_since_fire_day,days,The number of days since the containment of the CZU Lightning Complex Fires,numeric
TSS_mg_per_L,milligrams per liter,Concentration of total suspended solids,numeric
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text
Watershed,N/A,The name of the watershed samples from,text
